num_annotations,tau,test_item,thresh,precision,recall,f1,pred_labels
30,3.7395686376839876e-05,model_1,0.0,0.0,0.0,,"['background', 'background']"
30,3.7395686376839876e-05,model_1,0.5263158082962036,0.0,0.0,,"['background', 'background']"
30,3.7395686376839876e-05,model_1,1.0526316165924072,0.0,0.0,,"['background', 'background']"
30,3.7395686376839876e-05,model_1,1.5789474248886108,0.0,0.0,,"['background', 'background']"
30,3.7395686376839876e-05,model_1,2.1052632331848145,0.0,0.0,,"['background', 'background']"
30,3.7395686376839876e-05,model_1,2.6315789222717285,0.0,0.0,,"['background', 'background']"
30,3.7395686376839876e-05,model_1,3.1578948497772217,0.0,0.0,,"['background', 'background']"
30,3.7395686376839876e-05,model_1,3.684210777282715,0.0,0.0,,"['background', 'background']"
30,3.7395686376839876e-05,model_1,4.210526466369629,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,4.736842155456543,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,5.263157844543457,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,5.789474010467529,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,6.315789699554443,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,6.842105388641357,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,7.36842155456543,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,7.894737243652344,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,8.421052932739258,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,8.947368621826172,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,9.473684310913086,0.0,0.0,,['background']
30,3.7395686376839876e-05,model_1,10.0,0.0,0.0,0.0,[]
